,index,Sentence,Polarity_Classification
4966,4966,4.44 누가깸.. 내가만들어줌 ㅎㅎㅎ,Negativa
4967,4967,요즘 유일하게 보는 드라마인데 현실에서도 저럴수 있을까?고민많이 되는 드라마....암튼 재밌다.ㅋㅋ,Positiva
4968,4968,자이언트나 빛과그림자처럼 장편드라마로 나왔으면 대박. 하지만 영화는...,Negativa
4969,4969,별점 왜 이렇게 낮은거지....,Positiva
4970,4970,ㅋㅋㅋ 아 미치겠다 진짜,Negativa
4971,4971,"새로운 시도도 없으면서, 일관성도 없는, 잡스러운 영화!",Negativa
4972,4972,보고싶긴 한데 평가가 다 나뻐서..재미있나요??,Negativa
4973,4973,멋져요,Negativa
4974,4974,불륜의 시작,Negativa
4975,4975,벨때문에 별하나 겨우준다,Negativa
4976,4976,하드고어물로딱인거가틈,Negativa
4977,4977,재미없어요,Negativa
4978,4978,배우들 연기는 괜찮지만 반전의 반전은...모르겠음 영화를 요약하자면 전반부는 좀 희안한 법정영화 중반은 어퓨굿맨 열화판 후반은 신파극 딱 그 정도 보기에 나쁘진 않지만 평점보고 너무 기대하면 후회할 영화,Negativa
4979,4979,내 생애 최고의 영화. 후반부는 정말 압권이였음.,Positiva
4980,4980,글쎄 저렇게 사는 사람이 있을까 싶을 정도의 최익현 보는내내 화딱지.. 그리고 영화자체로도 재미별로 없었다,Negativa
4981,4981,개인적으로 점수 주는것 자체가 아깝다.,Negativa
4982,4982,연기력도 좋고 다 좋았음 볼만함,Positiva
4983,4983,존나CG넣기 귀찮아서 대충찍은거졸라많고 배우빨로 인기올라간 거품영화 이정도의 수준이라면 존나 저예산으로도 찍을 텐데 감독왜사냐,Negativa
4984,4984,동일글자 입력불가가 뭔지 모르겠으냐 햔먀디로 잼이없다. 그게 문제다. 감동은 얼어죽을...,Negativa
4985,4985,노짱빠는애들은 좌좀 노빠일테고 MB빠는애들은 일베충일테고 안봐도 뻔함ㅋㅋㅋ 헬조센 정치인은 다 도독놈들이야 누가 낫고 이런거 없어...,Negativa
4986,4986,캐쓰레기....돈아까움..,Negativa
4987,4987,그냥 꼭 보시라~ 라는 말 밖에,Positiva
4988,4988,아우...전설의주먹 2보는줄알았네...,Negativa
4989,4989,이 드라마 또 질질끌기시작함.별 반개도 아깝다.감독들은 이런것들만 배우는가봐?,Negativa
4990,4990,마지막을 위한 퍼즐... 식스센스급 반전이다,Positiva
4991,4991,사랑은 타이밍 또는 용기라고 보기엔 너무 꼬아도 꼬은 영화. 적당히 꼬았으면 좋았을것을..,Negativa
4992,4992,즐거웠던 영화!,Positiva
4993,4993,내 마음속 제네바는 어디인가?,Negativa
4994,4994,아 이 어설픔의 끝은 어디란 말인가 참내,Negativa
4995,4995,억지로 쥐어짜는 눈물이 아닌 가슴 먹먹해지는 이야기를 참 예쁘게 풀어 냈다는 생각이 드는군요... 행복한 사전도 좋았지만 저는 이번 작품이 더 성숙한 감독님의 모습을 보는 것 같아 좋았습니다,Positiva
4996,4996,갑자기 이 노래 생각나서 막 듣다가 저는 이 드라마를 다시볼겁니닼ㅋㅋ,Positiva
4997,4997,꿀꿀꾸룩루꿀꿀,Positiva
4998,4998,기대보다 별로다...,Negativa
4999,4999,종가네김치맛같네,Negativa
5000,5000,그저 쓰레기......일뻔 했으나 김수미 씨와 임채무 씨 덕에 그나마 웃기기라도했다.,Negativa
5001,5001,캐스팅이 화려해서 기대하고 봤더니만 이건 뭐 불륜을 합리화 시키려하고.. 재미도 없고.. 남은것도 없고.. 뭘 말하려는 건지 도통 알 수 없는 영화였음. 평점 남기려고 일부러 찾아오게 만든 영화.,Negativa
5002,5002,감동받으셨다는분들..아이앰쌤안보셨나봐요..,Negativa
5003,5003,"손 연기, 발 연기, 모든 연기를 볼 수 있다. 출연한 배우들이 모두 아마추어로 보이게 하는 마력이 있는 작품..",Negativa
5004,5004,제가 2년째 월화수목 드라마를 재방을 통해 거의 다 봤는데.. 이건 뭔말을하는지 알수가 없네요...액션이 있는것도 아니고... 이 드라마 장르는 뭐예요 작가님???? 여기서 연기하는 배우들이 너무 불쌍하네요..,Negativa
5005,5005,재미없다 지루하고 묘한 분위기 말고는 아무것도 없다,Negativa
5006,5006,"애초에 분위기가 오션스 시리즈처럼 진지했으면 훨씬 좋았을 영화; 가벼운 분위기, 만연하는 죠크... 보는내내 집중이 안됫다",Negativa
5007,5007,아이들부터 어른까지 모두가 즐길 수 있는 액션 어드벤처의 시조이며 여전히 최고인 영화~!!!,Positiva
5008,5008,역시나 밋밋한 속편,Negativa
5009,5009,최고의 영화도 다시 봐도 감동,Positiva
5010,5010,양갈래 딴 분녀의 다리 벌려 품어주기,Negativa
5011,5011,보는 내내 익스트림 그 자체다. 결론은 대단히 재밌다. 날렵한 흑인 대박~,Positiva
5012,5012,끝나지 않은 세월. 제목이 주는 강한 메세지,Positiva
5013,5013,"아주좋소. 라는 말 밖에 안나오는데 10자를 어찌 채우냐 어, 됐네",Positiva
5014,5014,알라딘보면 맘이 설렘ㅠㅠ특유의 감동...더빙판 강추!!,Positiva
5015,5015,악쓰고 폭력적이고... 내용전개 짜증나고...공감도 안되고... 불쌍하지도 않고 ... 지 죽을자리 죽어라 찾아다니는.. 여자를 멍청하게 그린 이런드라마 화나네요여기나온 여자캐릭터들 다 이상하네요 비정상 ....여성폄하드라마 인듯?,Negativa
5016,5016,안봤어. 봐도 재미없을꺼같아. 그래도 그냥 이거땜에 살면서 많이 웃었자나.,Positiva
5017,5017,눈빛만 반뜻한 웨슬리 스나입스,Negativa
5018,5018,진짜 옛날부터 스릴러를 좋아했는데 요새는 스릴러 드라마는 잘 없자나요 그래서 더 특별하고 기억에남는 드라마. 다시보고싶어도 찾아보고가 어렵네요..,Positiva
5019,5019,왠만하면 끝까지 보는데 이영화는 정말 지루해서 못보겠습니다 줄리아도 매력이...,Negativa
5020,5020,참 드라마 미치도록 답답하네요,Negativa
5021,5021,묘한 분위기를 풍기는 두 배우 팀 로빈스와 마이너리티 리포트의 사만다 모튼이 출연했지만 임팩트가 없어 기억에 남지 않는 영화.,Negativa
5022,5022,착하고 이쁘고 아름답게만 스토리 만든다고 다 감동인 줄 아냐??,Negativa
5023,5023,유럽에서 망해버린 '다문화'라는 걸 부추기는 이상한 영화...,Negativa
5024,5024,이걸본지도꽤오래지났는데아직도여운이감돈다,Positiva
5025,5025,오늘봤는데 진짜재밌다 엔딩이좀 감동을준다,Positiva
5026,5026,영화가 야한건 전혀 아니고 지저분하다....정상이 아닌 사람들 천지라 짜증...,Negativa
5027,5027,관람객평점준놈 알바냐?,Negativa
5028,5028,난 너무 깊이 빠져들어서 그런지 시간가는 줄 몰랐다. 존쿠삭의 섬세한 연기 굿!!,Positiva
5029,5029,정말 베토벤 영리합니다,Positiva
5030,5030,음 다운받아보신분들은 놀랄지도... 내용은 재밌음 ㅋㅋ,Positiva
5031,5031,"중반부 열차수색하던 일본순사가 """""""" 어디로가""""""""하며 한국말로 떠듬. 그들에겐 우리들이건 외놈들이건 크게 중요치 않다 송혜교역시 얼굴 몇번 비추는 들러리라는 느낌""""",Negativa
5032,5032,인물 하나하나 매력적인 드라마. 지적이고 인간적이며 따뜻하다.,Positiva
5033,5033,놀라운게 아니라 어이없어,Negativa
5034,5034,원작을 너무 못 살렸다.,Negativa
5035,5035,정말재밌어요 강추미드.ㅋ,Positiva
5036,5036,아놔 별주는것도 아까운영화같지도않은영화이런 쓰레기영화는처음봄이딴걸 영화라고만들다니..,Negativa
5037,5037,전편보다 재미는 있으나 인물 구성이 아쉬워졌다.,Positiva
5038,5038,즐겁게아이와함께관람했어요,Positiva
5039,5039,"이요원 .,.,.,.,.,",Negativa
5040,5040,난 재미있는데 근데 무섭 ㄷㄷ 그래도 조금 슬픔. 흑,Positiva
5041,5041,평덤이없데 불씽하게 내가 달아줌,Negativa
5042,5042,나름 재밌었고 영화도 괜찮네요,Positiva
5043,5043,다 필요없고 닥치고 왕조현~!,Positiva
5044,5044,"나도 모르게 """"""""모스""""""""의 편에서서 그가 피해자인양 그의 죽음에 안타까워했던 내 모습에 놀랬다 . 물질에 대한 욕망에 대해 객관적으로 해석한 생각하게 하는 영화""""",Positiva
5045,5045,해도해도 너무한다꼭 사람을 죽여야 극이되나요~~문지상 막판에 죽이는설정 너무 하는군요^^이런 악행까지 저지르게 하는건!,Negativa
5046,5046,성장하는 과정. 그 과도기의 아픔...,Positiva
5047,5047,찰리채플린이 생각나게 하는영화 ㅎㅎㅎ,Positiva
5048,5048,오! 마이갓 !!,Negativa
5049,5049,good good good,Positiva
5050,5050,이런류의 영화는 널리고 널림... 별로 할말 없음,Negativa
5051,5051,광태 새끼 개짜증 남. 광태 친구도 왕 짜증.,Positiva
5052,5052,'안병기' 이딴영화 안만들어와도 된다..,Negativa
5053,5053,실제로 이런 일이 일어나기도 한다는 사실이 끔찍하다,Positiva
5054,5054,밑에 9 10 점 준 사람들 진심임?이야 이건 아닌가같은데 ㅎ,Negativa
5055,5055,와우 평점 너무나 높다 이건 만든인간이나 상영해주는 인간이나 대다나다ㆍㆍㆍ,Negativa
5056,5056,전체적으로 좀 어수선하고 상당히 어설픈 분위기의 영국식 코미디...소설원작...,Negativa
5057,5057,굉장히 허술하고 연기들도 별로임 원작의 내용도 아닌데각색은 더 별로라고 느껴짐 완성도가 떨어지고시간이 아까웠던 영화,Negativa
5058,5058,마지막씬에서 펑펑 울었다 몰입도도 좋고 소재도 신선하고 공감가지 않으면서도 절실히 공감되는 아주 훌륭한 작품,Positiva
5059,5059,감동이....내 가슴에 전해진다..,Positiva
5060,5060,전개가너무억지스럽지만그래도너무너무재밌게보고있어요 진주가당하기만할때는너무답답했는데이제수빈이가잘못을들키기시작하면서는정말재밌게보고있어요,Positiva
5061,5061,내가 로맨스를 별로안좋아하는데 임창정때문에봤다. 임청정 순수해보이고 풋풋하던 그시절... 지금 다시봐도 명작이다,Positiva
5062,5062,울거같았다,Negativa
5063,5063,후반부 졸업파티때부터 최악,Negativa
5064,5064,이거 너무 좋아하는 스릴러 브리짓폰다 넘이뻤음 이떄,Positiva
5065,5065,"보여주고자 했던 것이, 전달하고싶은 메시지가 도대체 무엇이냐?",Negativa
5066,5066,이야 최고다 ㅋㅋ,Positiva
5067,5067,.............. 2점,Negativa
5068,5068,너무 사랑스러운 여주인공과 독특한 소재가 있는 설레임 그 자체인 영화였어요!재밌는 영화에요~!,Positiva
5069,5069,마이너영화.,Negativa
5070,5070,정말 엉성한 스토니에 그래픽이 아깝당...엔딩 결말도 엉성하고....완전 삼류 엉성한 스토리~~,Negativa
5071,5071,그냥 고집샌 나쁜놈으로 스티브잡스를 그려냈다. 근데 웃긴건 그게 끝...더 새로운건 없음,Negativa
5072,5072,1점도 아깝다,Negativa
5073,5073,전여잔데 감독진짜 또라이같네요 ㅎㅎ 역겹지만 중간중간 빵터짐~왤케 웃기짘ㅋ,Positiva
5074,5074,영화지을돈으로 딴거하지,Negativa
5075,5075,이거 보면 아청법 걸리는거야?,Negativa
5076,5076,아무 생각 없이 보려고해도 계속 생각하게 만드는 영화. 내용같은걸 다 빼더라도 화려한 영상에 계속 황홀한 기분이 들었다.오랜만에 진짜 제대로된 영화한편 본 기분이다.,Positiva
5077,5077,댓글알바 댓글알바 하던걸 정말 뼈저리게느꼇다;;,Negativa
5078,5078,유치찬란 환장을 하겟구나....,Negativa
5079,5079,출연배우조차 영화를 아직 안봐서 평가하기가... 좀~~~,Positiva
5080,5080,"너무나 현실적이고 처절하고 비참한...현실은 꿈같지않고 기적도 없다.""""""""그런데 너무 빨리 끝났다.""""""""이 말이 가장 마음에 와닿았다.""""",Positiva
5081,5081,"뭐냐 이 허접한 영화는,,,,미드 ER이나 그레이 아나토미 에피소드 한편만도 못하구나, 올란도는 굿닥터에이어 메인스트리트까지 결혼후엔 망작만 골라나오는군,",Negativa
5082,5082,사랑스럽고 애틋하다... 나의 세계와 통한다 그래서 위로가.된다,Positiva
5083,5083,주걸륜때문에 봤는데.... 최악이다 주걸륜 나온 영화중에 ^^,Negativa
5084,5084,거슬리는 음향좀 어떻게 했으면 좋겠다. 엉성한건 또 얼마나 엉성한지.. 차라리 찰리채플린 영화가 훨씬 유익하다,Negativa
5085,5085,많은기대를 져버리는 영화...아쉬움이 많이 남는 영화...,Negativa
5086,5086,영화 봤는데 김선아 민폐 캐릭터네요 ㅡㅡ;; 도대체 아픈 몸 이끌고 혼자 뭐하자는건지 경찰에 신고를 하던가 ㅋㅋㅋ 제 몸 장기 주는 목적으로 죄없는 사람들 끌어모아서 죽게만들고 한심하네요,Negativa
5087,5087,"소나티네와 하나비를 보고 열광했다면, 보라!",Positiva
5088,5088,"최고의 배우,최고의 연기,최고의 장소,그리고 최고의 영화",Positiva
5089,5089,킬링타임도안되는영화,Negativa
5090,5090,왜케 저평가 됐지? 진짜 수작이던데,Positiva
5091,5091,왜 이런 속편을 만든걸까? 도대체 왜! 왜!,Negativa
5092,5092,남녀 배우의 몸매가 참 좋다. 에로 영화인데 뭐 이런거로 평 매기는거지 ㅋㅋ,Positiva
5093,5093,"에휴.. 써커 펀치에선 화장빨이었구나..ㅠ,ㅠ.",Negativa
5094,5094,기대를 많이 했지만 얼간이 주인공.... 실소도 안 나오는 재미.개인적으로 매우 실망스러웠다.,Negativa
5095,5095,쇼킹한 영상,Positiva
5096,5096,공포영화 맞네요 영화를 보는것 자체가 공포,Negativa
5097,5097,시나리오 누구지?? 대사들 진짜 오글거려 죽겠네 여중생이 쓴 옛날 인터넷 소설이다,Negativa
5098,5098,천정명이 연기 좀만 잘했으면 별점 8점 이상 줬다 내가.,Negativa
5099,5099,사랑때문에 흘린 눈물있었다면그 예술가의 삶이 외로움이 이해가 간다.,Positiva
5100,5100,김구라씨 개인방송이에요?목소리톤이 너무 짜증섞인 말투 너무 듣기 싫네요게스트들 불러 놓고 뭐하는건지개인감정 컨트롤 못하고 후배한테 하는 행동 못나보이네요라스 좋아했는데 김구라씨 때문에 정말 보기싫어지네요,Negativa
5101,5101,"무언가 담고 있을지도 모른다고 기대했지만 공허하기만 하다. 플래시백은 오히려 상상을 방해하고, 집착과 죽음의 연결은 너무 흔하다. 인상적인 엔딩을 만들고 싶어하는 감독의 집착만 남았다.",Negativa
5102,5102,별 반개도 아까움 전파낭비 배우들 불쌍. 참 작가 정신세계가 궁금하다 . 사실 욕도 아깝다 .,Negativa
5103,5103,....10점이나준 미친놈도있네;,Negativa
5104,5104,홍은희씨 안전벨트를 맨거여 머여 ㅡ 똑바로 맵시다 ㅡ,Negativa
5105,5105,"노골적으로 말해서 강간 집단성폭행 왕따 폭력 절도 자살 같은 무지막지한 사건들이 이렇게 아무렇지도 않게, 역설적으로 터무니없이 아름답게 지나갔다. 그렇기에 더 여운이 남고 마음을 울리는 영화.",Positiva
5106,5106,이런프로그램만들어서 말도안되는 사회분위기조성하지마시요. 돈많이버는 아저씨들이나와서 돈벌이로 애들 댈꾸노는 환경되면 모든 아빠들이 그렇게 할수있는데 대부분 서민아빠들은 일에쩌들고 힘들어서 애들얼굴 자주못보는 아빠도있는데...,Negativa
5107,5107,무자식이 상팔자!!!,Negativa
5108,5108,아놔 이 고삐리들 내 머리로는 이해가 안가네~~,Negativa
5109,5109,개노잼 망한 영화 참뜻은 ㅗ,Negativa
5110,5110,알렉산드라 다드다리오의 가슴으로도 용서가 되지 않는 영화. 마이클빈도 왕년엔 나름 잘나가던 배우였는데 격세지감일세....,Negativa
5111,5111,차라리 뉴스를 보겟어요,Negativa
5112,5112,남자와 여자는 영원히 서로를 이해할수 없으니 모르겠지만 여자가 강간 그것도 윤간을 당했을때의 충격과 고통은 가해자들에 행한 고문보다 훨씬 큽니다. 고문을 정신과 육체에 동시에 당하기 때문에,Positiva
5113,5113,재미없다.,Negativa
5114,5114,이 엄청난 인물의 헛기둥이라니,Negativa
5115,5115,방송의 첫 의도랑 너무 다른듯이 방송은 도대체 뭘하는 프로인지?몇주 외국나가서 체험 삶의 현장하시더만이효리씨 나오더니 이건 또 머하는건지 ..이번엔 다이빙...?출발드림팀도아니고 체험삶의 현장도아니고제발 프로의 특징좀 잡아 방송합시다!,Negativa
5116,5116,ㅋㅋ 장면 하나하나다 창의적이다 ㅋㅋㅋㅋ 꼭봐라진짜 이거만든 감독 천제야 ㅋ,Positiva
5117,5117,아..배우들연기의 깊이가 .참..얕다. .연출이 그런건지.. 겉돈다 겉돌아..,Negativa
5118,5118,한번 보고 나서 리뷰를 읽고 다시 봤을때야 이해가 되지만 그래도 보는내내 숨죽였다,Positiva
5119,5119,진짜 연기를 잘하니 무슨 작품이든 다 소화해내는 능력보소~ 박기웅은 진짜 엄청난 배우인듯.ㅇㅇ,Positiva
5120,5120,2시간동안 할 수 있는일이 이것밖에 없었다는게 원망스럽다.,Negativa
5121,5121,밥맛이 도는게 아니라 밥맛이 뚝 떨어졌네요 맛있는 음식을 맛있게 먹으며 맛을 전달해 줘야되는데 무조건 많이 무조건 크게..뭐하는건지..굶고있는 사람들한테미안하진 않던가요? 음식으로 장난하는거밖에 안보이네요..참 실망입니다,Negativa
5122,5122,맥라이언땜시 본 영화 -_-;,Negativa
5123,5123,감히 광해따위는 넘볼수없는 걸작,Positiva
5124,5124,마지막 춤추는 (?)장면이 제일 인상깊은거 같아요~ 확 밀려오는 감동이랄까?ㅎ,Positiva
5125,5125,관객에게 전달하려는 메시지가 무었인지...,Negativa
5126,5126,좀 반전이 뻔하구 전 국민이 볼땐 이 영화의 유머가 유치해 보임,Negativa
5127,5127,보다가껏음,Negativa
5128,5128,이건 뭥미 한국영화 발전을 저해하는 영화임이 틀림없네 좀심하네,Negativa
5129,5129,내가 이 영화를 본것이 반전이다....;;,Negativa
5130,5130,"어쩌면,,,,운명이란 아주 가까운 곳에 있을지도 모른다",Positiva
5131,5131,기대했던것 이하..재미없음..,Negativa
5132,5132,"왕의남자,태극기를 휘날리며, 괴물보다 훨~~~~~~씬 재밌게봤어요 !!!!!!!!!!",Positiva
5133,5133,제가 개념이 없어서 그런지 내용이 뭔내용인지 모르겠네요..,Negativa
5134,5134,그냥 뭔내용인지,Negativa
5135,5135,내가 감독이라면 다시만들고 싶은 소재,Negativa
5136,5136,우리나라사람들이 외국인대한 않좋은 버릇들이 줄면 좋을텐데,Negativa
5137,5137,이제는 얼마나 창의적으로 죽이는지가 이 영화를 보는 묘미라면 묘미랄까..,Negativa
5138,5138,설에 가족이랑 보는데 민망하고 재미도없고 지루... 이리 삼류쓰레기 영화인지는 몰랐다 그나마 배우들땜에 참고 본거...,Negativa
5139,5139,송해성은 데뷔작부터 뛰어났던건 아니였구나,Negativa
5140,5140,시간이 남아 돌면 관람가,Negativa
5141,5141,블랙 코메디라고 만든건가? 글쎄 그다지;,Negativa
5142,5142,아이고 OOO 기에요 우쭈쭈,Negativa
5143,5143,내용과 출연진은 부족하지 않은데..혹 초짜감독?! 다른 장면으로 넘길때 엉성함이..,Negativa
5144,5144,애들 욕하지마라 지들은 뭐 그렇게 잘났나? 솔까 거기 나오는 귀여운 애들이 당신들보다 훨 낮다.,Positiva
5145,5145,주제가 뭔지 모르겠고 조잡스럽냐,Negativa
5146,5146,내가 알던 택시가 맞나 싶은 영화 유머코드도 전혀 나랑 매치도 안되는 것 같고 여러모로 황당한 영화,Negativa
5147,5147,유쾌발랄...재미있네여^^ 엔딩장면이 조금 아쉽지만...ㅋ,Positiva
5148,5148,고구려가 신라의 지원요청을 받아줬으면 이런일도 안일어났지,Positiva
5149,5149,정말 잘 만든 영화 요즘 청춘에게 자신의 삶을 살라는 교훈을 준다,Positiva
5150,5150,헐리우드는 하나도 새로울 것 없는 영화에 투자좀 안했으면,Negativa
5151,5151,94년 작품이라 사운드도 화질도 안좋고 전개도 유치하고 뻔하고 ...딱 4점이 적합하다.,Negativa
5152,5152,귀신 나오고 그냥 그런 반전 넣으면 공포영화인 시대는 갔다.,Negativa
5153,5153,"장국영을 좋아한다해서,이딴영화에,만점을줄수는없다.영화에대한평가는 냉정한게 좋다",Negativa
5154,5154,제작 끝나고 2년 3년 후에 개봉하는 영화는 무슨 하자가 꼭 있는 것 같아요.,Negativa
5155,5155,이민기는 정말 작품 복이 없구나,Negativa
5156,5156,짝퉁;;; 역시 중국 클라스,Negativa
5157,5157,공감하기 참~ 쉽지않네...;;;,Negativa
5158,5158,"한국만 그런 줄 알았더니, 프랑스 된장녀도 만만찮군",Negativa
5159,5159,투 두 사부일체 살려내 ㅅㅂ들아 투 두 사부일체는 재미잇기라도하지 상사부일체는머냐 내가 돈주면서 영화바도 이런 쓰래기 같은 영화는 안봐 ㅅㅂ들아 내가정운택팬인대 ㅅㅂ다 쓰래기만 모아낫어 ㅅㅂ들아 누가본다고 돈 시간만 아깝지 ㅅㅂ들아,Negativa
5160,5160,역시 나만 그런게 아니네....강유란 연기 너무 못해...눈만 부릅뜨면 다냐? 줄거리는 참 재밌는데...,Negativa
5161,5161,아니 왜 1편을 많이 봐줘서 2편까지 만들게 했을까;;,Negativa
5162,5162,착한 척도 너무 하면 가식적으로 느껴진다는,Negativa
5163,5163,핵폐기물이다....,Negativa
5164,5164,윤발형님 왜 이런 영화를....,Negativa
5165,5165,내가 본 일본영화중 최고다 정말.....,Positiva
5166,5166,재밌게 보구있어요~,Positiva
5167,5167,"감정표현의 섬세함이 돋보인다. 심리,폭력,섹스,마초의 집합? (이젠 무슨낙으로...)",Positiva
5168,5168,에드워드 호퍼의 그림이 스크린에서 움직인다! 매우 신기한 일이다 배우도 조명도 그림보다 더 리얼하게 담백하게 다가온다. 감히 재미나 즐거움으로 표현할수 없는 영화!,Positiva
5169,5169,감동적이게 유치해보여,Negativa
5170,5170,좋은 영화~,Positiva
5171,5171,드라마가 좋은 것도 아니고 액션이 좋은 것도 아닌...,Negativa
5172,5172,이건뭐 무슨 에로영화도 아니고ㅡㅡ 제이슨은 불사신이냐,Negativa
5173,5173,성공한 작전인데 보는 내내 가슴졸여 미치는줄알았다 ㅋㅋ,Positiva
5174,5174,스티브잔땜에 본다 ㅋㅋ 너무귀여워~~,Positiva
5175,5175,도대체 그런 기술은 왜 닦은라고 하는건지...,Negativa
5176,5176,밑에 일베충 인증하는구나,Positiva
5177,5177,굉장히 재미잇었지만 한국판의 재미없는 애드립이 너무 깬다 원판을 봣으면 좋앗을텐데 특유의 OST가 매력적,Positiva
5178,5178,막장의 진수를 유감없이 보여준다,Negativa
5179,5179,음란하거나 오락영화의 관점으로 접근하시면 안됩니다.,Positiva
5180,5180,"수많은 영화 장면의 패러디만 있을 뿐, 내용 면에선 너무 유치하다",Negativa
5181,5181,한국사람이 감독이라 그런지 다른 일본 영화들과는 좀 다른듯..,Positiva
5182,5182,이걸로 인해 공권력남용과 인종차별에 대한 시위도 일어났었죠. 캘리에 사는 사람으로써 안와닿진않네요 영화가. 그런데 제일 차별당하는건 아무래도 아시아인이 아닐까 싶습니다.,Positiva
5183,5183,내 인생 최고의 드라마!,Positiva
5184,5184,진짜 개쒸레기 영화 이게 평점이 6점대라는게 믿기지 않는다,Negativa
5185,5185,동반자.,Positiva
5186,5186,쓰레기영화 보는 내내 답답한 영화 뻔히보이는 스토리에 우왕좌왕 주인공들 여주들 몸매보는 재미 1점,Negativa
5187,5187,단순 에로물보다는 보기 좋네,Negativa
5188,5188,에이리언의 또 다룬 명작...액션의 볼거리거 아닌 함축된 공간의 미학...,Positiva
5189,5189,진심 안구정화좋음♥,Positiva
5190,5190,비디오 방에서 중간에 나오게 하지좀 말지,Negativa
5191,5191,"지나치게 권태,무미건조, 단조로운 일상들의 무분별한 병렬식 나열",Negativa
5192,5192,여시충들의 로망과꿈을 담은영화 몸팔고다니다 애비가누군지모름,Negativa
5193,5193,임상수의 시나리오가 첫 번째 에러. 이정재와 서우의 캐스팅이 두 번째 에러. 전도연의 필모그래피에서 지워졌으면 하는 유일한 영화.,Negativa
5194,5194,전 세계가 경악할만도 하지.. 이건 영화도 아니다,Negativa
5195,5195,수십번을 봐도 눈물이 흐르고 또 흐른다.. 정말 미치도록 슬퍼지고 눈물쏟고 싶으면 이 드라마를 보면된다. 아 정말 지금도 생각만해도 가슴이 아프다. 저런 사랑을 한다는 것 자체가 부럽다..,Positiva
5196,5196,여기서 나오던 이일웅씨가 진주햄 소세지먹으면서 연기하던거 지금도 기억남,Positiva
5197,5197,연기력이 문제가 아니라ㅜ시나리오ㅜ연출 빵점ㅜ,Negativa
5198,5198,별 한개도 아깝다 이런 쓰레기 영화가 다 있나;;,Negativa
5199,5199,너무나도 감동적이고 좋은 영화네요~!,Positiva
5200,5200,이거 평점 오바다. 쓸데없이 높다,Negativa
5201,5201,헐,Negativa
5202,5202,나에게 영감을 준 작품,Positiva
5203,5203,내용이나 연출이 기대이하...,Negativa
5204,5204,"돈주고는 보지 않을 영화. 돈주지 않고도 볼 필요없는 영화...스토리도 엉망이고, 연출도 영~ 아니다.예고편은 정말 그럴듯 하게 짜집기를 해 놓은 것.",Negativa
5205,5205,성의가 있으나 엉성하다.,Negativa
5206,5206,2010년의절반을넘게동이와함께한시간들이..너무빠르게지나간것만같아아쉽네요ㅜㅜ,Positiva
5207,5207,많이 실망했네요. 일단 무섭지 않고 긴장감이 없고...볼꺼리도 없는...,Negativa
5208,5208,핸들과 가슴이 절묘하게 찍힌 스틸컷이네...,Negativa
5209,5209,너무 어려움. 예술영화임은 분명하지만 현대 세대의 정서엔 맞지 않음,Negativa
5210,5210,유치함이 심형래 영화 비할바가 아니다,Negativa
5211,5211,큐브 ...더 이상은 안나오겠지..???,Negativa
5212,5212,이 영화 평점 왜이리 낮게 평가 된건지 평점 맞추기 위해 십점!!!,Positiva
5213,5213,야한 영화인줄알고 봤다고 섹스와 사랑에 대한 진정한 의미를 일깨워주게한 영화..ㅋㅋ,Positiva
5214,5214,특이한 영화이긴한데 재미는 모르겠다는...,Negativa
5215,5215,생에 최악의 영화 5위안에 듬,Negativa
5216,5216,유치하게 흘러가는 내용,Negativa
5217,5217,뭔 소릴 하고 싶은거냐. 무자식이 상팔자? 졸면서 겨우 다봤네.,Negativa
5218,5218,반전결과 모두 알고 봤는데도 완전 최고마지막에 눈물남,Positiva
5219,5219,"제목과는 아무런 상관없는 진부한 이야기가 너무나 지루하게 펼쳐지고, 공포 영화라는 사실을 잊어버릴 정도로 무섭지 않다. 그 외의 모든 것도 총체적 난국이다.",Negativa
5220,5220,그닥..이런 영화를 왜 만드는지...,Negativa
5221,5221,잔잔하다. 슬프다. 허무하다. 재미있다.,Positiva
5222,5222,몸 파는여자들의 드림스컴트루,Negativa
5223,5223,한시간째 보는데 드는 생각은 저집좋다! 계속봐야하나! 이두가지. 그래도 돈내고 보는데 끝까지 보긴하는데...심심해서 평점을.. 도무지 이건 모지? 다보고나면 화날거같은데ㅠ,Negativa
5224,5224,"가족의 의미를 생각하게 해주는 영화, 그걸 위해 다른 영화와는 다른 구성이 덧보이는",Positiva
5225,5225,극장에서 본 사람이 있을까..,Negativa
5226,5226,"보고나서 짜증나던데, 괜히 봤다는 생각 뿐... 배우를 농락하는게 아니고 관객을 농락하는 느낌이 이빠이 들었다는,,, 별 0개는 왜 안되나요...",Negativa
5227,5227,쓰레기까지는 아니고...그냥 뻔하다? 헤이츠보다 백배나음ㅋㅋ,Positiva
5228,5228,쓰레기같음 1점도앜깝디ㅡ,Negativa
5229,5229,그래서 저의 점수는 바로바로 소세지빵점드립니다,Negativa
5230,5230,현대사회에서 몸부림치는 청소년을 그린듯한 영화였습니다,Positiva
5231,5231,오글거려 죽는줄 알았음,Negativa
5232,5232,중고딩들이 만들 영화 같아,Negativa
5233,5233,그냥 노잼 뻔한내용ㅇㅇ 남자배우둘만 잘생김,Negativa
5234,5234,감독은 미상인건가요?,Negativa
5235,5235,따뜻한 감동이 있는 영화...강추!,Positiva
